id,author,author_authorized_heading,author_lccn,author_viaf,author_wikidata,best_rank,debut_rank,first_week,oclc,oclc_eholdings,oclc_holdings,oclc_isbn,oclc_owi,title,total_weeks,year
471,Fannie Hurst,"Hurst, Fannie, 1889-1968",n80010314,34585051,Q275719,3,3,4/2/34,285579,2,188,,1449229,ANITRA'S DANCE,3,1934
4710,Harlan Coben,"Coben, Harlan 1962-",n88243676,116846308,Q318099,2,2,4/5/20,1119745493,162,3365,9.78154E+12,9537277846,THE BOY FROM THE WOODS,7,2020
4711,Ira Levin,"Levin, Ira, 1929-2007",n79045184,4932714,Q317631,4,8,3/21/76,1818465,180,2903,0394402677,229230648,THE BOYS FROM BRAZIL,14,1976
4712,Charles Mergendahl,"Mergendahl, Charles, 1919-1959",n85025900,114943452,Q1065519,12,16,9/21/58,1155929,9,183,,2088178,THE BRAMBLE BUSH,8,1958
4713,Angela Thirkell,"Thirkell, Angela Mackail (1890-1961)",n50014949,624145857922023020435,Q4762571,3,4,7/10/39,295832,11,1093,,16494031,THE BRANDONS,8,1939
4714,Michael Connelly,"Connelly, Michael, 1956-",n91020332,19745715,Q313193,1,1,11/2/08,225870367,454,4723,9.78032E+12,135826120,THE BRASS VERDICT,6,2008
4715,Tom Lea,"Lea, Tom, 1907-2001",n50042555,15571250,Q7788145,3,6,5/8/49,4622973,14,1101,,117022748,THE BRAVE BULLS,22,1949
4716,B. A. Paris,"Paris, B. A.",no2016078291,88146936606313780374,Q55389841,10,10,8/6/17,957022575,172,2667,9.78125E+12,4037553608,THE BREAKDOWN,2,2017
4717,Daphne du Maurier,"Du Maurier, Daphne, 1907-1989",n79109035,24600806,Q193357,13,14,11/22/59,1020771,18,705,,53106436,THE BREAKING POINT,7,1959
4718,Nevil Shute,"Shute, Nevil, 1899-1960",n50022830,7510005,Q356639,8,10,5/1/55,292204,97,1505,,1062111,THE BREAKING WAVE,13,1955
4719,John Grisham,"Grisham, John, 1955-",n88231236,7449742,Q106465,1,1,2/20/00,54083777,539,7482,0385497482,831842,THE BRETHREN,31,2000
472,Sinclair Lewis,"Lewis, Sinclair, 1885-1951",n79023149,39380311,Q123469,1,1,1/30/33,288770,25,1815,,1464799,ANN VICKERS,12,1933
