id	author	author_authorized_heading	author_lccn	author_viaf	author_wikidata	best_rank	debut_rank	first_week	oclc	oclc_eholdings	oclc_holdings	oclc_isbn	oclc_owi	title	total_weeks	year
2910	Jackie Collins	Collins, Jackie	n79113048	100253982	Q1837775	9	9	2008-06-29	236163595.0	118	2278	9780312341817	134062448	MARRIED LOVERS	2	2008
2911	John Updike	Updike, John	n79018616	90712179	Q105756	7	9	1976-11-28	2283832.0	123	2585	039440856X	1908962806	MARRY ME	6	1976
2912	Sholem Asch	Asch, Sholem, 1880-1957	n79114270	56628030	Q380439	2	9	1949-10-23	313121.0	53	1564		4594164	MARY	30	1949
2913	Daphne du Maurier	Du Maurier, Daphne, 1907-1989	n79109035	24600806	Q193357	1	11	1954-06-20	964460.0	48	2481		47636384	MARY ANNE	34	1954
2914	Mary Ellen Chase	Chase, Mary Ellen, 1887-1973	n50038212	69187174	Q1337504	2	4	1934-10-08	280598.0	4	1012		1426845	MARY PETERS	8	1934
2915	Mazo De la Roche	De la Roche, Mazo, 1879-1961	n50040407	120724970	Q2742392	7	9	1949-01-30	3657196.0	171	1667		572225	MARY WAKEFIELD	10	1949
2916	Booth Tarkington	Tarkington, Booth, 1869-1946	n79078124	54154708	Q893138	1	2	1932-02-08	275617.0	20	645		1410885	MARY'S NECK	9	1932
2917	James Patterson	Patterson, James, 1947-	n78086409	22272314	Q311671	1	1	2005-12-04	58055394.0	470	5582	031615976X	157857138	MARY, MARY	15	2005
2918	John Sandford	Sandford, John, 1944 February 23-	n88201495	112432108	Q1701679	2	2	2020-05-03	1113226288.0	189	3138	9780525539520	9614210240	MASKED PREY	4	2020
2919	Thomas Pynchon					4	4	1997-05-18						MASON & DIXON	8	1997
292	John le Carré	Le Carré, John, 1931-	n79083252	109254932	Q209641	3	3	2004-02-01	52860190.0	414	3906	9780316353588	429035	ABSOLUTE FRIENDS	5	2004
2920	Janet Dailey	Dailey, Janet	n80032090	19676286	Q453231	4	11	1990-04-08	20594557.0	231	2503	0316171425	195978714	MASQUERADE	10	1990
2921	Kit Williams	Williams, Kit	n80096068	167380205	Q6417490	2	6	1981-01-04	6250483.0	21	1354		75479	MASQUERADE	43	1981
2922	Sidney Sheldon	Sheldon, Sidney	n80032212	100259983	Q105118	1	9	1982-09-05	8678911.0	177	3300	0688013651	2870662	MASTER OF THE GAME	38	1982
2923	Gwyn Griffin	Griffin, Gwyn	no93030607	79283510	Q5623772	11	11	1961-09-03	1375742.0	11	238		2294211	MASTER OF THIS VESSEL	2	1961
2924	Barnaby Conrad	Conrad, Barnaby, 1922-2013	n82214495	62006358	Q4861348	3	9	1952-07-13	1988557.0	23	737	0884962865	3192492	MATADOR	21	1952
2925	Susan Elizabeth Phillips	Phillips, Susan Elizabeth	no94031145	32019691	Q272767	7	7	2005-08-28	57319873.0	247	2299	0060734558	888216	MATCH ME IF YOU CAN	3	2005
2926	Karl Marlantes	Marlantes, Karl	no2010010196	106896414	Q2038095	7	7	2010-04-11	501071580.0	152	3033	9780802119285	796577024	MATTERHORN	8	2010
2927	Danielle Steel	Steel, Danielle	n80061569	100238676	Q72653	5	5	2009-06-21	241305006.0	330	4116	9780385340274	141312510	MATTERS OF THE HEART	2	2009
2928	E.M. Forster	Forster, E. M. (Edward Morgan), 1879-1970	n79091231	31996364	Q189119	9	9	1971-10-31	174310.0	91	3919	0393086577	196071797	MAURICE	2	1971
2929	Art Spiegelman	Spiegelman, Art,	n85210380	96596029	Q325945	13	13	1991-12-08	24319614.0	15	2982	0679729771	3901451971	MAUS II	3	1991
293	David Baldacci	Baldacci, David	n95052956	102339955	Q495420	2	14	1996-02-11	32665645.0	516	4036	0446519960	46418	ABSOLUTE POWER	17	1996
2930	Howard Fast	Fast, Howard, 1914-2003	n79043401	108416567	Q380202	8	15	1982-10-03	8493039.0	134	1795	0395325064	54506693	MAX	12	1982
2931	Elmore Leonard	Leonard, Elmore	n50049790	19680365	Q336519	3	14	1991-08-04	23049165.0	127	2730	0385301421	535471	MAXIMUM BOB	8	1991
2932	Myron Brinig	Brinig, Myron, 1897-1991	no92032678	59446695	Q6948422	5	5	1938-07-04	5112548.0	1	109		3260163	MAY FLAVIN	2	1938
2933	Louis L'Amour	L'Amour, Louis, 1908-1988,	n79041797	121561792	Q379895	11	14	2001-06-24	45799363.0	52	2871	0553802135	57740663	MAY THERE BE A ROAD	2	2001
2934	Isabel Allende	Allende, Isabel	n84145691	61556825	Q83566	15	15	2013-05-12	828925955.0	353	3626	9780062105622	889997978	MAYA'S NOTEBOOK	1	2013
2935	Jennifer Crusie	Crusie, Jennifer	no94003914	220056218		16	16	2010-09-19	526077057.0	132	2483	9780312303785	480022995	MAYBE THIS TIME	1	2010
2936	Larry Collins.	Collins, Larry	n80043550	95318151	Q983434	14	14	1989-07-09	19388628.0	24	946	0671665472	1402627997	MAZE	2	1989
2937	Lawrence Sanders	Sanders, Lawrence, 1920-1998	n80045983	83994214	Q1397305	11	12	1994-02-20	28892015.0	185	2269	0399139192	149170582	MCNALLY'S CAPER	7	1994
2938	Lawrence Sanders	Lardo, Vincent	n84136710	62951522		11	12	1999-07-25	41002756.0	15	1372	0399144900	11509932246	MCNALLY'S DILEMMA	4	1999
2939	Lawrence Sanders	Sanders, Lawrence, 1920-1998	n80045983	83994214	Q1397305	6	8	1997-04-20	36017214.0	158	2373	0399142487	694863196	MCNALLY'S GAMBLE	5	1997
294	Michael Savage	Savage, Michael, 1942-	n2002102346	70755085	Q1292044	4	4	2011-10-02	704383818.0	23	1086	9780312651619	902882385	ABUSE OF POWER	2	2011
2940	Lawrence Sanders	Sanders, Lawrence, 1920-1998	n80045983	83994214	Q1397305	6	9	1996-03-17	33358356.0	170	2338	0399141359	3373620285	MCNALLY'S PUZZLE	6	1996
2941	Lawrence Sanders	Sanders, Lawrence, 1920-1998	n80045983	83994214	Q1397305	13	13	1993-03-21	26933107.0	200	2351	0399138161	132136847	MCNALLY'S RISK	2	1993
2942	Lawrence Sanders	Sanders, Lawrence, 1920-1998	n80045983	83994214	Q1397305	12	12	1995-03-26	31045158.0	12	1642	0399140069	4760279091	MCNALLY'S TRIAL	3	1995
2943	Elizabeth Flock					14	14	2005-03-13						ME & EMMA	1	2005
2944	Sandra Brown	Brown, Sandra	n88012222	114156159	Q258096	5	5	2014-09-07	868040429.0	275	3649	9781455581122	1761343839	MEAN STREAK	3	2014
2945	Edgar Cantero	Cantero, Edgar, 1981-	n2008058656	11782572	Q8771884	14	14	2017-08-06	961457626.0	170	1098	9780385541992	4415884740	MEDDLING KIDS	1	2017
2946	Clive Cussler and Paul Kemprecos					2	2	2009-06-21						MEDUSA	4	2009
2947	Robert B. Parker	Parker, Robert B., 1932-2010	n79063642	101763416	Q550819	13	13	2004-10-17	55286165.0	173	3330	0399152180	374393183	MELANCHOLY BABY	1	2004
2948	Taylor Caldwell	Caldwell, Taylor, 1900-1985	n80126302	17220157	Q445429	3	7	1948-07-11	5199190.0	71	835		57066423	MELISSA	17	1948
2949	John Marquand	Marquand, John P. (John Phillips), 1893-1960	n79061320	7473159	Q1190579	3	5	1951-10-21	288733.0	47	1385		1464655	MELVILLE GOODWIN, USA	23	1951
