,id,author1,author1_normalized,author2,author3,author4,author_authorized_heading,author_lccn,author_viaf,author_wikidata_qid,date,htid,hathi_rights,title,imprint,isbn,isbn_most_common_edition,lccn,oclc,oclc_owi,oclc_eholdings,oclc_holdings,person_id,place,publisher_marc
653,6794,"Covington, Dennis.","Covington, Dennis",,,,"Covington, Dennis",n90696122,93557671,Q5258306,1995,mdp.39015033330161,ic,Salvation on Sand Mountain : snake handling and redemption in southern Appalachia / Dennis Covington.,"Addison-Wesley, c1995.",['0201622920 :'],0201622920,['94040335'],['31375816'],33392878.0,63.0,1645.0,763,mau,Addison-Wesley
654,6795,"Bly, Robert","Bly, Robert",,,,"Bly, Robert",n79054927,79847862,Q472507,1994,uc1.32106011972137,ic,Meditations on the insatiable soul : poems / by Robert Bly,"HarperPerennial, c1994","['0060950633 (pbk.) :', '006055357X (cloth) :']",006055357X,['93041009'],['29357596'],31219264.0,10.0,411.0,5,nyu,HarperPerennial
655,6796,"Wolitzer, Hilma.","Wolitzer, Hilma",,,,"Wolitzer, Hilma",n50013816,52928077,Q5764256,1994,mdp.39015032191960,ic,Tunnel of love / Hilma Wolitzer.,"HarperCollins Publishers, c1994.",['0061180076 :'],0061180076,['93051064'],['29635340'],31953865.0,125.0,554.0,3649,nyu,HarperCollins Publishers
656,6797,"Patchett, Ann.","Patchett, Ann",,,,"Patchett, Ann",n91108359,54362733,Q433485,1994,mdp.39015017434922,ic,Taft / Ann Patchett.,"Houghton Mifflin Co., 1994.",['0395694612'],0395694612,['94009500'],['30027610'],6998665.0,182.0,1133.0,1785,mau,Houghton Mifflin Co.
657,6798,"Cooper, Jane 1924-2007","Cooper, Jane",,,,"Cooper, Jane, 1924-2007",n82087761,235768947,Q6151271,1994,mdp.39015017433551,ic,"Green notebook, winter road / by Jane Cooper.","Tilbury House, 1994.","['0884481425 (pbk.) :,0884481417 (hard) :']",0884481417,['94004867'],['29952304'],116489537.0,11.0,186.0,3372,meu,Tilbury House
658,6799,"Levine, Philip 1928-","Levine, Philip",,,,"Levine, Philip, 1928-2015",n78093573,110361442,Q531273,1994,mdp.39015032145974,ic,The simple truth : poems / by Philip Levine.,"Alfred A. Knopf : Distributed by Random House, 1994.",['0679435808 :'],0679435808,['94014508'],['30110326'],9425912.0,107.0,1256.0,87,nyu,Alfred A. Knopf :
659,6800,"Lauterbach, Ann 1942-","Lauterbach, Ann",,,,"Lauterbach, Ann, 1942-",n78090917,22164048,Q4766499,1994,mdp.39015032144662,ic,"And, for example : poems / Ann Lauterbach.","Penguin Books, 1994.",['0140587152'],0670858838,['94005814'],['29952481'],31735372.0,12.0,210.0,4356,nyu,Penguin Books
660,6801,"Packer, Ann 1959-","Packer, Ann",,,,"Packer, Ann, 1959-",n93082272,39617308,Q4766601,1994,mdp.39015031816039,ic,Mendocino and other stories / Ann Packer.,"Chronicle Books, c1994.",['0811806294'],0811806294,['93036315'],['28798334'],1041856.0,81.0,314.0,1865,cau,Chronicle Books
661,6802,"Madhubuti, Haki R. 1942-","Madhubuti, Haki R.",,,,"Madhubuti, Haki R., 1942-",n50046357,61540144,Q5640451,1994,mdp.39015032098306,ic,"Claiming earth : race, rage, rape, redemption : Blacks seeking a culture of enlightened empowerment / Haki R. Madhubuti.","Third World Press, c1994.",['088378095X :'],088378095X,[],['30954035'],32626767.0,3.0,278.0,1539,ilu,Third World Press
662,6803,"Phillips, Jayne Anne 1952-","Phillips, Jayne Anne",,,,"Phillips, Jayne Anne, 1952-",n79033346,44274409,Q4353602,1994,mdp.39015032098058,ic,Shelter / Jayne Anne Phillips.,"Houghton Mifflin/Seymour Lawrence, 1994.",['0395488907 :'],0395488907,['94008391 //r94'],['29952494'],31735660.0,50.0,1132.0,1109,mau,Houghton Mifflin/Seymour Lawrence
