id	author1	author1_normalized	author2	author3	author4	author_authorized_heading	author_lccn	author_viaf	author_wikidata_qid	date	htid	hathi_rights	title	imprint	isbn	isbn_most_common_edition	lccn	oclc	oclc_owi	oclc_eholdings	oclc_holdings	person_id	place	publisher_marc
6457	Godwin, Gail.	Godwin, Gail	Neufeld, Rob.			Godwin, Gail	n50033169	100267478	Q2908695	2011	mdp.39015063683976	ic	The making of a writer : journals / Gail Godwin ; edited by Rob Neufeld.	Random House, c2006-c2011.	['1400064333 (hard : v. 2),9781400064335 (hard : v. 2),9780812974690 (trade pbk. : v. 1),0812974697 (trade pbk. : v. 1),9781400064328 (hard : v. 1),1400064325 (hard : v. 1)']	9781400064335	[]	['697608504']	793977187	113	853	3459	nyu	Random House
6458	Olsen, Lance 1956-	Olsen, Lance				Olsen, Lance, 1956-	n86108063	110430530	Q6483502	2005	mdp.39015062522894	ic	10:01 / by Lance Olsen.	Chiasmus Press, c2005.	['0970321260']	0970321260	[]	['61525289']	46105046	28	57	1241	oru	Chiasmus Press
6459	Godwin, Gail.	Godwin, Gail				Godwin, Gail	n50033169	100267478	Q2908695	2006	mdp.39015062522563	ic	Queen of the underworld : a novel / Gail Godwin.	Random House, c2006.	['0345483189']	0345483189	['2005048592']	['60414450']	898510	82	1505	3459	nyu	Random House
6460	Stewart, Trenton Lee.	Stewart, Trenton Lee				Stewart, Trenton Lee	n2005048034	28260711	Q1773063	2005	mdp.39015062861094	ic	Flood summer : a novel / Trenton Lee Stewart.	Southern Methodist University Press, 2005.	['0870745050 (acid-free paper)']	0870745050	['2005050013']	['60856216']	476196604	2	140	2220	txu	Southern Methodist University Press
6461	Twichell, Chase 1950-	Twichell, Chase				Twichell, Chase, 1950-	n81017543	595149198244374940003	Q5087206	2005	mdp.39015062628725	ic	Dog language / byChase Twichell.	Copper Canyon Press, c2005.	['1556592310 (pbk. : alk. paper)']	1556592310	['2005008865']	['58788945']	3944071779	86	250	975	wau	Copper Canyon Press
6462	McGrath, Tom 1940-2009	McGrath, Tom				McGrath, Tom, 1940-2009	n78026518	11101768	Q1875952	2005	mdp.39015062898195	ic	Laurel and Hardy / by Tom McGrath.	Capercaillie Books, 2005.	['0955124603']	9780955124600	[]	['62927979']	47168341	4	33	3700	stk	Capercaillie Books
6463	Levine, Philip 1928-	Levine, Philip				Levine, Philip, 1928-2015	n78093573	110361442	Q531273	2001	mdp.39015062438646	ic	The bread of time : toward an autobiography / Philip Levine.	University of Michigan Press, 2001.	['0472086251 (pbk. : alk. paper)']	0679424067	['2001046281']	['47665498']	30824161	4	671	87	miu	University of Michigan Press
6464	Swensen, Cole 1955-	Swensen, Cole				Swensen, Cole, 1955-	n87941523	34594117	Q2982413	2005	mdp.39015062593861	ic	The book of a hundred hands : poems / by Cole Swensen.	University of Iowa Press, c2005.	['0877459460 (pbk. : alk. paper)']	9781587296475	['2004065651']	['57452640']	795511402	1516	183	3096	iau	University of Iowa Press
6465	Hoagland, Edward.	Hoagland, Edward				Hoagland, Edward	n79058588	37833728	Q3048551	2003	mdp.39015062408888	ic	Cat man : a novel / Edward Hoagland.	Lyons Press, [2003]	['1585748617 (pbk.)']		[]	['52759551']	796359	3	204	3641	ctu	Lyons Press
6466	Reinhorn, Holiday.	Reinhorn, Holiday				Reinhorn, Holiday	n2005010245	14172466	Q15487785	2005	mdp.39015062547289	ic	Big cats : stories / Holiday Reinhorn.	Free Press, c2005.	['0743272943']	9780743272940	['2005040021']	['57694969']	476556999	30	213	2370	nyu	Free Press
