record_id,wikidata_work_qid,title,creator,released,year_set,years_distant,multiyears,medium,genre,wikipedia_pg,verify_yr,notes,is_episode,predictions,source
london_scarlet_1912,Q2634129,The Scarlet Plague,Jack London,1912,2073,161,,fiction,science fiction novel,https://en.wikipedia.org/wiki/The_Scarlet_Plague,,,,,wikicategory
house_philip_1912,Q7183471,Philip Dru: Administrator,Edward House,1912,1928,16,1920-1935,fiction,novel,https://en.wikipedia.org/wiki/Philip_Dru:_Administrator,,Median of the range of years depicted in the work,,"Philip Dru leads the democratic western United States in the Second American Civil War against the plutocratic East. After becoming a benevolent dictator and an acclaimed leader, he steps down, having restored justice and democracy.",wikipast
wood_man_1915,Q16963627,The Man Who Rocked the Earth,Robert W. Wood; Arthur Cheney Train,1915,1916,1,,fiction,novel,https://en.wikipedia.org/wiki/The_Man_Who_Rocked_the_Earth,,,,"In 1916, World War I had an even more devastating effect than before. Germany conquered Holland, Denmark and Switzerland, Italy annexed Dalmatia and the Trentino and a ""Slav republic"" was formed which was composed of Hungary, Croatia, Bosnia, Herzegovina, Serbia, Romania, Montenegro, Albania and Bulgaria. The United States remained neutral, as did the newly formed United States of South America which was composed of the Spanish-speaking South American republics. The monarchs of Germany, Italy and the United Kingdom all voluntarily abdicated and those countries became republics.",wikipast
burroughs_beyond_1955,Q4900041,Beyond Thirty,Edgar Rice Burroughs,1915,2137,222,,fiction,science fiction novel,https://en.wikipedia.org/wiki/Beyond_Thirty,,,,,wikicategory
o'brien_flying_1916,Q3520935,The Flying Torpedo,John B. O'Brien,1916,1921,5,,film,drama film,https://en.wikipedia.org/wiki/The_Flying_Torpedo,,,,"In 1921, foreign spies steal a radio-controlled flying bomb and plan to use it to attack the United States as a prelude to invasion.",wikipast
beerbohm_enoch_1916,Q5379328,"""Enoch Soames""",Max Beerbohm,1916,1997,81,,fiction,short story,https://en.wikipedia.org/wiki/Enoch_Soames,,,,"By 1997, most words in the English language are spelled phonetically and many of them are pronounced differently than they were in 1897.[37]",wikipast
jaccard_great_1919,Q18389770,The Great Air Robbery,Jacques Jaccard,1919,1925,6,,film,silent film,https://en.wikipedia.org/wiki/The_Great_Air_Robbery,,,,Depicts air pirates.,wikipast
lindsay_golden_1920,Q7737004,The Golden Book of Springfield,Vachel Lindsay,1920,2018,98,,fiction,novel,https://en.wikipedia.org/wiki/The_Golden_Book_of_Springfield,,,,"In 2018, the residents of Springfield, Illinois are working to transform the city into a utopian paradise.",wikipast
werckmeister_algol_1920,Q881767,Algol,Hans Werckmeister,1920,1940,20,,film,silent film,https://en.wikipedia.org/wiki/Algol_(film),,,,,wikifilm
čapek_rossum_1921,Q1164094,R. U. R. (Rossum's Universal Robots),Karel Čapek,1921,2000,79,,drama,science fiction play,https://en.wikipedia.org/wiki/R.U.R.,,See https://en.wikipedia.org/wiki/R.U.R.#cite_note-11,,"The synthetic protoplasm that makes robots a possibility is discovered in 1932. The play itself takes place some decades after that. One of the earliest, if not the earliest, example of an AI takeover in fiction. The 1948 BBC adaptation takes place from 1980 to 1990.[89]",wikipast
